"","sample","average","PDL1","group1","group2","newsample"
"78","WM115","mean_ratio",1.71737715587374,"inducible","inducible","WM115"
"79","WM2664","mean_ratio",1.30879311308625,"inducible","inducible","WM2664"
"80","SKMel28","mean_ratio",2.49230315043651,"inducible","mid","SKMel28"
"81","JRpost","mean_ratio",12.5969690763875,"constitutive","mid","CM142.post"
"82","MelRMu","mean_ratio",5.77274118596433,"constitutive","mid","MelRMu"
"83","MelST","mean_ratio",2.64131578947368,"constitutive","mid","MelST"
"84","Hs688AT","mean_ratio",7.70729743331656,"constitutive","mid","Hs688AT"
"85","KDpre","mean_ratio",18.9941880008241,"constitutive","constitutive","CM143.pre"
"86","KDpost","mean_ratio",40.050154530174,"constitutive","constitutive","CM143.post"
"87","NZM9","mean_ratio",84.2655818540434,"constitutive","constitutive","NZM9"
"88","NZM40","mean_ratio",79.6946927329796,"constitutive","constitutive","NZM40"
"89","NZM11","mean_ratio",45.554398344472,"constitutive","constitutive","NZM11"
"90","COLO239F","mean_ratio",29.7814150861696,"constitutive","constitutive","COLO239F"
"91","MM127","mean_ratio",28.761336650458,"constitutive","constitutive","MM127"
"92","MM595","mean_ratio",54.6998004587877,"constitutive","constitutive","MM595"
